taxonID	creator	date	title	description	identifier	type
22361631	Maiden	1916		In: J. & Proc. Roy. Soc. New South Wales 49: 492 (1916)		taxon
22361632	Maslin	1977		In: Nuytsia 2: 148, figs 2 & 7 (1977)		taxon
22361634	Maslin	1982		In: Nuytsia 4: 79, figs 4 & 10 (1982)		taxon
22361635		1995		In: Nuytsia 10(1): 24 (1995)		taxon
22361636	Cowan & Maslin	1995		In: Nuytsia 10: 25 (1995)		taxon
22361637	Cunn. ex Don	1832		In: Gen. Hist. 2: 404 (1832)		taxon
22361638	Cowan & Maslin	1995		In: Nuytsia 10: 31 (1995)		taxon
22361639		1991		In: Western Australian Naturalist 18(7): 186 (1991)		taxon
22361640	Maslin	1991		In: W. Austral. Naturalist 18: 186, fig. 1 (1991)		taxon
22361641	Tind.	1975		In: Telopea 1: 77 (1975)		taxon
22361643	F.Muell.	1858		In: Fragm. 1: 7 (1858), J. Proc. Linn. Soc., Bot. 3: 138 (1859).		taxon
22361644	Tind. & Kodela	1991		In: Austral. Syst. Bot. 4: 586, fig. 5 (1991)		taxon
22361645	C.Gardner	1942		In: J. Roy. Soc. W. Australia 27: 173 (1942)		taxon
22361647	Maslin	1982		In: Nuytsia 4: 82, figs 5 & 11 (1982)		taxon
22361648	R.Baker	1897		In: Proc. Linn. Soc. New South Wales 22: 153, t. 8 (1897)		taxon
22361649		2001		In: Flora of Australia IIA: 244 (2001)		taxon
22361650	Tind. & Kodela	2001		In: Telopea 9(2): 319-322 (2001)		taxon
22361651		1966		In: Contr. NSW Nat. Herb. 4(1): 55 (1966)		taxon
22361652	Tind.	1966		In: Contr. New South Wales Natl Herb. 4: 56 (1966)		taxon
22361653	Tind.	1978		In: Telopea 1: 382, pl. 13 (1978)		taxon
22361654	Cowan & Maslin	1990		In: W. Austral. Naturalist 18: 79, fig. 1 (1990)		taxon
22361655	Reichb.	1829		In: Iconogr. Bot. Exot. 2: 35, t. 199 (1829)		taxon
22361656	Willd.	1806		In: Sp. Pl. 4th edn, 4: 1072 (1806), see J.H. Ross, Fl. Southern Africa 16: 108 (1975).		taxon
22361657	Maslin	1999		In: Nuytsia 12(3): 341 (1999)		taxon
22361658	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 18, pl. 9, figs 1--6 (1928)		taxon
22361659	Cunn. ex Benth.	1842		In: London J. Bot. 1: 374 (1842)		taxon
22361660	Tind. & Kodela	1992		In: Telopea 5: 58, figs 2 & 3F--J (1992)		taxon
22361661	Maslin	1978		In: Nuytsia 2: 322, figs 19 & 24 (1978)		taxon
22361662	Cowan & Maslin	1990		In: Nuytsia 7: 206, fig. 1N (1990)		taxon
22361663		1990		In: Nuytsia 7(2): 202, 205, fig. h-m (1990)		taxon
22361664	Cowan & Maslin	1995		In: Nuytsia 10: 25 (1995)		taxon
22361665	F.Muell.	1879		In: Fragm. 11: 65 (1879)		taxon
22361666	Morrison	1912		In: Scott. Bot. Rev. 1: 96 (1912), Trans. & Proc. Bot. Soc. Edinburgh 26: 51 (1917).		taxon
22361668	F.Muell.	1876		In: Fragm. 10: 32 (1876)		taxon
22361669	Benth.	1840		In: Botanist 4: t. 179 (1840)		taxon
22361670	Maslin	1975		In: Nuytsia 1: 422, fig. 10 & map 11 (1975)		taxon
22361671	Benth.	1864		In: Fl. Austral. 2: 346 (1864)		taxon
22361672		1995		In: Nuytsia 10(1): 33 (1995)		taxon
22361673	Cowan & Maslin	1995		In: Nuytsia 10: 34 (1995)		taxon
22361674	Maslin	1987		In: Nuytsia 6: 33 (1987)		taxon
22361675	Pedley	1980		In: Austrobaileya 1: 293 (1980)		taxon
22361677	Cowan & Maslin	1999		In: Nuytsia 12(3): 420 (1999)		taxon
22361678	Maslin	1978		In: Nuytsia 2: 206, figs 3 & 6 (1978)		taxon
22361679	E.Pritzel	1904		In: Bot. Jahrb. Syst. 35: 303 (1904)		taxon
22361680	F.Muell.	1863		In: Fragm. 3: 128 (1863)		taxon
22361681	A.R.Chapman & Maslin	1992		In: Nuytsia 8: 264, fig. 4A (1992)		taxon
22361682	E.Pritzel	1904		In: Bot. Jahrb. Syst. 35: 294 (1904)		taxon
22361683	F.Muell.	1882		In: S. Sci. Rec. 2(7): 149 (1882)		taxon
22361684	Maiden in A.J.Ewart & O.B.Davies	1917		In: Fl. N. Territory 344, pl. 27, figs I--O (1917)		taxon
22361685	R.T.Baker	1897		In: Proc. Linn. Soc. New South Wales 22: 154, t. 9 (1897)		taxon
22361686	Benth.	1855		In: Linnaea 26: 608 (1855)		taxon
22361687	Benth.	1842		In: London J. Bot. 1: 381 (1842)		taxon
22361688	Maslin	1999		In: Nuytsia 12(3): 342 (1999)		taxon
22361689		1995		In: Nuytsia 10(2): 210 (1995)		taxon
22361690	Cowan & Maslin	1995		In: Nuytsia 10: 211 (1995)		taxon
22361691	Maslin	1983		In: Nuytsia 4: 386, figs 3, 4 & 14 (1983)		taxon
22361692	Maslin	1995		In: Nuytsia 10: 89 (1995)		taxon
22361694	Benth.	1842		In: London J. Bot. 1: 331 (1842)		taxon
22361695	Balbis	1813		In: Cat. Pl. 1813 edn, 7 (1813)		taxon
22361697	Maslin	1980		In: J. Adelaide Bot. Gard. 2: 307, fig. 3 (1980)		taxon
22361700	Cowan & Maslin	1999		In: Nuytsia 12(3): 458 (1999)		taxon
22361702	Cunn. in B.Field	1825		In: Geogr. Mem. New South Wales 345 (1825)		taxon
22361703	Maiden	1901		In: Proc. Linn. Soc. New South Wales 26: 12, t. 1 (1901)		taxon
22361704	Maslin	1995		In: Nuytsia 10: 192 (1995)		taxon
22361705		1974		In: Contr. Queensland Herb. 15: 10, 19 (1974)		taxon
22361706	Pedley	1974		In: Contr. Queensland Herb. 15: 10, 19, figs 2A & 6 (1974)		taxon
22361708	Maslin	1983		In: Nuytsia 4: 389, figs 5, 6 & 14 (1983)		taxon
22361709		1975		In: Nuytsia (1)5: 472, fig. 31A-I (1975)		taxon
22361710	Maslin	1975		In: Nuytsia 1: 474, figs 31L--O & map 5 (1975)		taxon
22361711	Lindley	1839		In: Sketch Veg. Swan R. xv (1839)		taxon
22361712	Maslin	1979		In: Nuytsia 2: 358 (1979)		taxon
22361713	Maslin	1975		In: Nuytsia 1: 467, fig. 29 & map 10 (1975)		taxon
22361714		1975		In: Nuytsia 1(5): 466, fig. 28 (1975)		taxon
22361715	Maslin	1975		In: Nuytsia 1: 468, fig. 30 & map 10 (1975)		taxon
22361717	Turrill	1922		In: Kew Bull. 1922: 299 (1922)		taxon
22361718	Benth.	1855		In: Linnaea 26: 622 (1855)		taxon
22361719	Maslin	1995		In: Nuytsia 10: 91 (1995)		taxon
22361721	W.Fitzg.	1904		In: J. W. Austral. Nat. Hist. Soc. 1: 15 (1904)		taxon
22361723	DC.	1825		In: Prodr. 2: 449 (1825)		taxon
22361724	G.Leach	1994		In: Nuytsia 9: 355, fig. 2 (1994)		taxon
22361726	Maslin	1982		In: Nutysia 4: 85, figs 6 & 11 (1982)		taxon
22361728	Cunn. ex Benth.	1842		In: London J. Bot. 1: 383 (1842)		taxon
22361732	Sieber ex DC.	1825		In: Prodr. 2: 451 (1825)		taxon
22361734	Maslin	1975		In: Nuytsia 1: 436, fig. 15 & map 7 (1975)		taxon
22361735		1928		In: J. Roy. Soc. W. Australia 13: 8, pl. 8, figs 12--19 (1928)		taxon
22361736	Cowan & Maslin	1995		In: Nuytsia 10: 232 (1995)		taxon
22361737	Pedley	1969		In: Contr. Queensland Herb. 4: 2 (1969)		taxon
