nameID,parentNameID,scientificName,scientificNameAuthorship,nameRank,nameUri,isHybrid,genus,specificEpithet,rankIndicator,otherEpithet,subclass,family,acceptance,acceptedNameID,NomenclatureStatusID,NomenclatureStatusName,Symbol
100451,40020797,"Hansteinia crenulata","Britton ex Rusby",species,http://www.tropicos.org/Name/100451,,Hansteinia,crenulata,sp.,,Magnoliidae,Acanthaceae,S,50270330,,"No opinion",
100452,40020797,"Hansteinia glandulosa","(Oerst.) Lindau",species,http://www.tropicos.org/Name/100452,,Hansteinia,glandulosa,sp.,,Magnoliidae,Acanthaceae,,,3,Invalid,**
100453,40020797,"Hansteinia gracilis","(Nees) Lindau",species,http://www.tropicos.org/Name/100453,,Hansteinia,gracilis,sp.,,Magnoliidae,Acanthaceae,,,2,Illegitimate,*
100454,40020797,"Hansteinia haematodes",Nees,species,http://www.tropicos.org/Name/100454,,Hansteinia,haematodes,sp.,,Magnoliidae,Acanthaceae,,,3,Invalid,**
100455,40020797,"Hansteinia oerstedii",Lindau,species,http://www.tropicos.org/Name/100455,,Hansteinia,oerstedii,sp.,,Magnoliidae,Acanthaceae,,,2,Illegitimate,*
100456,40020797,"Hansteinia purpusii",Brandegee,species,http://www.tropicos.org/Name/100456,,Hansteinia,purpusii,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100457,40020797,"Hansteinia sessilifolia",Lindau,species,http://www.tropicos.org/Name/100457,,Hansteinia,sessilifolia,sp.,,Magnoliidae,Acanthaceae,,,2,Illegitimate,*
100458,40021385,"Harpochilus phacocarpus",Nees,species,http://www.tropicos.org/Name/100458,,Harpochilus,phacocarpus,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100459,40024065,"Henrya donnell-smithii",Happ,species,http://www.tropicos.org/Name/100459,,Henrya,donnell-smithii,sp.,,Magnoliidae,Acanthaceae,S,102764,,"No opinion",
100460,40024065,"Henrya laxa",Happ,species,http://www.tropicos.org/Name/100460,,Henrya,laxa,sp.,,Magnoliidae,Acanthaceae,S,101536,,"No opinion",
100461,40024065,"Henrya longipes",Happ,species,http://www.tropicos.org/Name/100461,,Henrya,longipes,sp.,,Magnoliidae,Acanthaceae,S,101536,,"No opinion",
100462,40024065,"Henrya puberula",Happ,species,http://www.tropicos.org/Name/100462,,Henrya,puberula,sp.,,Magnoliidae,Acanthaceae,S,101536,,"No opinion",
100463,40024470,"Herpetacanthus macrophyllus",Nees,species,http://www.tropicos.org/Name/100463,,Herpetacanthus,macrophyllus,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100464,40024470,"Herpetacanthus melancholicus","Nees & Mart.",species,http://www.tropicos.org/Name/100464,,Herpetacanthus,melancholicus,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100465,100464,"Herpetacanthus melancholicus var. latifolius",Nees,variety,http://www.tropicos.org/Name/100465,,Herpetacanthus,melancholicus,var.,latifolius,Magnoliidae,Acanthaceae,,,,"No opinion",
100466,40024470,"Herpetacanthus panamensis",Leonard,species,http://www.tropicos.org/Name/100466,,Herpetacanthus,panamensis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
